title,article,date,author,link
Poly in global climate week action,Chikondi Chingota,"September 30, 2019","The climax of the activities in Blantyre was a march that started from the Mjamba Freedom Park through Kamuzu highway up to Blantyre market.The match patronized people from various sectors including Blantyre city assembly, police, industries, churches and schools. The activities included picking up of plastic papers/objects and also civic educating people about the hazards of plastics in the environment.At the Blantyre market where the match adjourned the president of WESM Tionge Gawa explained that one of the motives for the match was to bring awareness to the public about the ban of thin plastics and also to introduce to the public the alternatives to thin plastics.“Plastics are hazardous to the environment because they do not decompose,” Gawa said.“Here we have brought to you samples of alternatives to plastics such as these paper bags which easily decompose thus making them environmental friendly,” said Gawa while showing the audience the paper bags.An Environmental Scientist and lecturer of environmental sciences in the Department of Physics and Biochemical Sciences (PBS) at the Polytechnic, Floney Kabaghe, led the staff and students who participated in the march.“The Malawi Polytechnic participated because community outreach is in our mission statement,” she explained.She continued; “Students who participated are from the PBS department, they learn environmental sciences therefore their participation was deemed necessary in the sense that it will indicate their commitment to what they learn regarding environmental protection and management.”One of the Polytechnic students involved in this, a Fourth Year Environmental Science and Technology student from PBS by the name of Andrew Kaitano Hamuza also expressed his benefits from the experience.“As a student I have learned that plastics bring more harmful impacts than positive ones,” stated Hamuza.“This will help us as students to invent ways of disposing of plastics including recycling and also helping in designing alternatives to plastic usage” narrated Hamusa.    ",http://www.mubas.ac.mw/news/poly-in-global-climate-week-action-30-09-2019
Poly triumphs,Hazviperi Mbizi,"September 30, 2019","Goals, were scored by Innocent Suleman and Peter Matewere in the second half making it 2-1 after the home team had scored their lone goal 10min before recess time.According to the PSU Vice president, Victor Nkhambule, the Polytechnic team had a difficult start in the first half since they were playing away and CHANCO had all the support from fans and a home ground advantage, which enabled them to take the lead.Captain Fexter Banda commended the boys for putting up a hard work by winning all the five games played though they are on holiday.“We are on holiday yes but the team is still strong, boys are playing with their hearts. We are on position 8 of the table with 45 points, but we have four games in hand due the fact that we could not play during exam time,” Banda explained.Banda added that if they win all the four games in hand the team would be a point behind the league leaders Max Bullets.",http://www.mubas.ac.mw/news/poly-triumphs-30-09-2019
Bankers graduate,Hazviperi Mbizi,"September 27, 2019","The ceremony, which was presided by the Pro Vice Chancellor of the University of Malawi Professor Al Mtenje, who was also the guest of honour, saw 217 students graduating from different institutions including the Polytechnic Management Development Centre.Speaking during the ceremony, the Pro Vice Chancellor congratulated the graduates for putting up hard work and taking steps in their lives.“Each one of you is here today through your own sustained hard work, you needed courage and determination to face the challenges of higher learning,” he said.Professor Mtenje pointed out that the graduates developed certain qualities of character and mind to achieve this, such as: empathy, independent and careful thinking plus the ability to disagree without being disagreeable.In his remarks, the Director of IOB and President of Bankers Association of Malawi, Mr Kwanele Ngwenya connected the theme of this year which he says is the Financial Inclusion to the graduation occasion.“While we might select best students from secondary schools, our policy is open, we believe that the message of financial inclusion which you have started here will take you to a stage where access to financial services is widely acknowledged in promoting, enhancing capital accumulation and raising the level of investments in Malawi,” Ngwenya said.The Chief Executive Officer of IOB, Mrs Lyness Nkungula congratulated the graduates and encouraged those already working in banks and other organization to continue working hard.The Dean of Faculty of Commerce, Dr Betchani Tchereni, did the presentation of the names of the candidates.Other delegates present were Dr Benedicto Wokomaatani Malunga, Mr Mc Fussy Kawawa, Mr Eric Chimpesa, Dr Madalitso Tsakamwa and Mr Martin Matululu.",http://www.mubas.ac.mw/news/bankers-graduate-27-09-2019
Say No! To flooding,Hazviperi Mbizi,"September 26, 2019","According to Kayuni, after conducting research they discovered that the Draft Tube Floor of Hydro Generating Power Station is at risk of flooding.Using buckets to illustrate how this machine works, they connected them to the Beacon light and sensor which shows that, when the water level rises and meet the second sensor, level 2 an alarm is activated and a “Flooding Alert Program!!” SMS is sent through.“Flooding in a Hydro Power Station mainly occurs whenever there is a sudden rise of water on the draft tube floor caused by either blockage of drain pipes to the drainage pit, or failure of drainage pit and many more,” he explained.Kayuni added that even though when constructing a Hydro Power Station, Drainage Pits are constructed, but they cannot detect rapid water rising on the draft Tube floor.“If this system is implemented, it can improve the response time when faced with a case of flooding at the Hydro Power Station,” he highlighted.According to the supervisor of the project Alinafe Kaliwo, it is a very good project, which he says if taken up for maximization and improvement, it is a very good innovation.",http://www.mubas.ac.mw/news/say-no-to-flooding-26-09-2019
Merging theory with practice,Hazviperi Mbizi,"September 25, 2019","According to the founder of IESAM 360, an engineering alumnus from the Polytechnic Samuel Simwaka, the aim of the workshop is to innovate students through technical knowledge as well as knowing how theory works in conjunction with practical.“We conduct these trainings to bring change to the engineering environment in Malawi. Polytechnic graduates should be able to operate machinery as technicians in various industries.” Simwaka said.During the training, Simwaka engages other students like Yusuf Chimole, Chikumbutso Walani and Sam Masikini to assist in lecturing to the participants in the field they are good at.Masikini described Simwaka as a hard worker who has great vision and is able to execute big plans.“There is quite a lot one can learn from associating. But most of all, I remembered a quote by Yogi Bhajan , ""if you want to learn something, read about it. If you want to understand something, write about it, if you want to master something, teach it “. IESAM is a society of students from all scientific disciplines, I want to share my ideas as I work with different people as well as learn from them. I am helping myself by assisting others too, we all win,” he explained.In addition, Chikumbutso Walani explained that as a lecturer at the training it has helped him to master some skills of practical in readiness for class.“To the students I feel that they are all gaining a lot in as far as practical experience is concerned. That is why many are still requesting for more trainings,” Walani said.IESAM 360 will be conducting a series of monthly trainings from October 2019.",http://www.mubas.ac.mw/news/merging-theory-with-practice-25-09-2019
Poly Hosts IYF,Chikondi Chingota,"September 23, 2019","IYF is an organization from Korea whose motive is to change the youth’s mindset from a childish careless to a better developmental mindset. Its motto is “change challenge cohesion”.A second year Bio Medical Engineering student, Lusungu Mtawali is also a member of this grouping. She expressed that some of the benefits of being a member is that they learn how to understand the bible and use it to overcome different challenges.“I joined this grouping back in 2011 after being persuaded by the teachings I found here when I came as a volunteer in one of its functions,” said Mtawali.The function consisted of mindset teachings, taekwondo, games, and dances. There was also learning of different languages such as Korean and Chinese.“One of the things that I have learned here is the saying which says ‘there is a problem, if you say there is a problem’, this means that you need to have a mindset in which there is nothing that you can say is a challenge, in that way you can prosper in anything you do,” narrated Lusungu.One of the organisers who was simply named “Charlie” explained that this event is annually done and that another function had already been done in Lilongwe from August 29th to 31st this year.One of the attendees at the function by the name of Asante Kabotwa expressed her gratitude of attending the function saying she has learned a lot.“In the teachings, I have learnt and appreciated the importance of listening in our daily life. I have also learnt the dangers of careless actions. This will help me to tread carefully in what I do in my day to day life.” ",http://www.mubas.ac.mw/news/poly-hosts-iyf-23-09-2019
To Dubai for robotics,Hazviperi Mbizi,"September 20, 2019","The students are; Nyasha Mpinda, Victor Njimapemba, Loreen Chiwaya, Sally Mwaichangaya and Patience Muhaliya.According to the team leader and mentor, lecturer in the Electronics and Computer engineering department Stanley Mbewe, this is an annual event where by engineering students from all over the world come together to compete on how they can solve problems using robotics.“This year, there are about 194 countries participating in this competition. The challenge, is to come up with ways on how robots could help solve aquatic life problems within water bodies,” Mbewe said.The students have been selected among those who applied by sending an entrepreneurship viable idea in the engineering field.Mbewe further explained that Polytechnic has been participating in these competitions where by the involved students have been working on various robotics.In addition, the team is requesting for financial support for this trip, t-shirts and any other requirements that can aid the trip to be a success.For donations and assistance call or text Mbewe on 0991548657 or email smbewe@poly.ac.mw or visit https://first.global/2019-nations/malawi-2019/",http://www.mubas.ac.mw/news/to-dubai-for-robotics-20-09-2019
Student in career guidance,Chikondi Chingota,"September 17, 2019","Walani explained that in his four years at the University he has noticed the challenges and lack of proper information that students have when choosing a career. This eventually prompted him to join hands with the Youngstars Nation in trying to guide those venturing in University the wise way of choosing their career.“Most aspirants are influenced by the pressure from their parents or friends or lack of helpful information which later lead them to take career paths that are not of their interests,” Walani said.In the career guidance session Walani urged the young hopefuls that they need to learn what they are good or best at, explaining that it will help propel them to make wise decisions when choosing the programs they want to excel in in College.“You need to identify yourself what you are good at. You need to understand your hobby and talent because that will guide you into choosing your career path. It is not the type of employment that matters it is you utilizing your skills on daily basis,” urged Walani.Walani explained that this Career Guidance session is different from those done by others. He highlighted that they do not only elaborate to the youth what programs are in the Universities but also teach and train them how to recognize and spot their talent.One of the hopefuls interviewed narrated that the experience has benefitted them a lot and vowed to share the knowledge they have gained with those that were unable to reach the venue.In the session Walani was joined by the president of the Youngstars Nation Michael Wase who later explained that he was encouraged with the turnout of the youth to the session. He added that they are planning to have another Career Guidance session early October in Lilongwe.",http://www.mubas.ac.mw/news/student-in-career-guidance-17-09-2019
"Let’s play, socialize and be fit",Hazviperi Mbizi,"September 16, 2019","The match, which started with the home team trailing by 4 goals in the first quarter, had a tremendous turn after the introduction of Sarah Juma who netted in enough baskets together with a fellow goal shooter Alice Matewere to give them a lead.It was during the third quarter when the visitors pulled through after introducing new players, which caught the home team off guard.Nevertheless, Poly women made some substitutions by introducing Emily to the goal defence and replaced Sarah back to shooting while Innocentia went out.The game had officiating issues where the umpire Silvia from Polytechnic seemed to be bias towards the visitors.Speaking after the match, the Polytechnic Captain Alice Matewere hailed the visiting team for a competitive match which she said has motivated them to practice more.The Captain further requested for more games so that they should be performing well whenever they participate in the Intervarsity tournaments.On the other hand, the gents in the Polytechnic staff football team managed to beat Media Stars 3-2 and drew against Reserve Bank of Malawi socials 3-3 and PSI Malawi 1-1.Goal scorers were, Macben Mbale, Alinafe Kaliwo, Naphy Naphtala and Nsimenye Mwafongo.These game were played on September 7 and September 14 at the Polytechnic Sports and Moneymen grounds respectively.",http://www.mubas.ac.mw/news/lets-play-socialize-and-be-fit-16-09-2019
Freshmen’s experience,Chikondi Chingota,"September 13, 2019","This has prompted them to relish their time at the Polytechnic in which they have waited for more than 12 months to step on.A Bachelor of Business Communication student, Festone Matandika narrated that when he was in secondary school they were threatened about the level of studies at college, suffice to say, he has realized that, that is not the case.“My expectations when coming here was that the studies at this institution are of a difficult level but with my experience, I have learned that there is an abundance of time to study which makes the lessons a lot more easier.” Matandika explained.As part of their preparations for the exams, he further stated that the absence of the continuing students who closed school earlier has also aided in their preparation for their exams scheduled for next week.“There is more space in the library to study and it is more quite. Adding to that we are also able to find accommodation on campus,” he highlighted.In addition, his fellow classmate Silaji Sandali explained that his experience at this institution has taught him new ways of viewing the day-to-day life.“In the models we learn in class such as Communication Theory, we have learned new ways of viewing our social life such as interpersonal relationships.” Sijali observed.",http://www.mubas.ac.mw/news/freshmens-experience-13-09-2019
Walani shines at MIE,Hazviperi Mbizi,"September 13, 2019","The workshop is patronized by engineering organizations and individuals who showcase their innovative projects and solutions plus research papers which have been tackled to the benefit of the country.“Every University has an MIE students chapter where the president and another representative are requested to participate and report what the student engineers have been working on and producing,” Walani saidWalani who was accompanied by the Polytechnic MIE treasurer Triza Nkhoma explained that as an engineering student he has learned a lot especially from Dr Mathews Mtumbuka who talked about aiming social skills.“He emphasized that most engineers only focus and talk about formulas but in true sense the world need people who have social skills and are able to think and take part in running the country by associating with the society,” he added.At the end of every annual Engineering conference, new office bearers are selected. This time around the participants agreed to maintain the incumbent board since it is changing its name to Malawi Engineering Institution.This transformation expects to change some of the constitution and policies. The process is likely to take a period of 24 months waiting for the approval from the government.",http://www.mubas.ac.mw/news/walani-shines-at-mie-13-09-2019
Teach to motivate –Dr Susuwere,Hazviperi Mbizi,"September 12, 2019","Speaking during the ceremony after presenting certificates to 39 participants, the Minister of Education Science and Technology, Honourable Dr. William Susuwere Banda, MP explained that Malawi should start appreciating the respectable role teachers perform.“My message to you is that you should go and make a difference so that students should feel motivated by their teachers,” he advised the participants.The Minister further instructed them to be supportive to their learners by not challenging them at any cost.The participants were doing refresher courses on metal work, woodwork, and workshop practice plus machine and tool maintenance.Commenting on the proposal by one the participants about the government’s initiative to increase technical schools in the country, the Minister highlighted that the State President Professor Arthur Peter Mutharika is emphasizing on the technical subjects hence the introduction of technical schools.The UNIMA Chairperson Rev Dr Billy Gama thanked the Minister for his presence and support he renders to UNIMA.“The Technical department has done assessments in terms of training, logical and skills of teaching in line with the secondary school curriculum evident for the development methodology and delivery of the training program,” Dr Gama said.The Principal of the Polytechnic Professor Grant Kululanga added that the participants have been highly trained with expertise so that they should transfer the same professional knowledge to the students for the development of the country.One of the participants Cryton Tambala a Quality Assurance Inspector of secondary schools hailed the workshop citing that it has been an eye opener in various areas.",http://www.mubas.ac.mw/news/teach-to-motivate-dr-susuwere-12-09-2019
Ethics and governance centre launched,Hazviperi Mbizi,"September 11, 2019","The Honourable Minister of Justice and Constitutional Affairs Mr. Bright Msaka, SC and Member of Parliament for Machinga Likwenu, graced the official inaugural ceremony.Speaking during the ceremony, the Minister commended the board of UNIMA, the founder and Acting Director of CEEG Professor Joseph Mfutso -Bengo for this initiative, which he said is imperative since it will help improve issues to do with ethics and governance.“Ethics and governance are important in every profession which needs to be adhered to avoid bribery and corruption in the country,” he said.The Minister further encouraged people in all professions to be ethical in their operations in order to contribute to the development of the country.In his remarks the UNIMA Council chairperson Rev Dr Billy Gama explained that he is happy because this initiative has originated from UNIMA. As an academic institution its aim is to provide guidance and solutions to the public.“The moral decay has been a song in so many sectors. You may wish to know that His Excellency the State President Professor Arthur Peter Muthalika emphasizes on the three cores of honesty, integrity and hard work.” Dr Gama explained.The Council Chair added that it is the duty of the UNIMA to disseminate this message not only as part of the curriculum but also educating the general public.The Pro Vice Chancellor of UNIMA Professor Al Mtenje, highlighted that it was the paper written by Professor Joseph Mfutso -Bengo which was persuasive that it influenced the UNIMA to open and launch the CEEG.Three keynote speakers namely; the British High Commissioner Holly Tett, the Chinese Ambassador Liu Hongyang and the Chief Justice Anastazia Msosa, retired, made various speeches in support of the establishment of the centre.",http://www.mubas.ac.mw/news/ethics-and-governance-centre-launched-11-09-2019
Students indulge in workshop adventure,Chikondi Chingota,"September 11, 2019","The trio will be going into rural and isolated areas targeting the youth in which they will be training them in this particular field. The workshop is called WANTECH, which they say translates to “One Technology”.“The reason behind the workshop is to empower the youth in the skills of electronics, electrical and basic programming so that with that knowledge they are able to form businesses and rely on themselves financially,” one of the students Rodrick Custom explained.“The other aim of this workshop is to empower the community on how they should deal with climate change on their own through ways of irrigation and solar.” Jehoshophat Kachale added.The students are planning on visiting Chiradzulo district from 23rd to 28th September while interacting with the youth from different sectors such as churches and secondary schools.“We want to meet secondary school learners so that they can have a picture of what they can expect when they venture in the university, and this may add as an extra motivation to them,” Jehoshaphat explained.Asked what benefit the students think they may attain from this, Debbie explained that the will to pass on the expertise is one of the reasons that drove them to do this. She added that it would also act as an opportunity for them to bring into practice what they learned in class.They were however asking well-wishers who are able to provide financially or electric materials to do so, stating that it will help contribute in their developmental activities.",http://www.mubas.ac.mw/news/students-indulge-in-workshop-adventure-11-09-2019
Poly students shine at Indaba,Hazviperi Mbizi,"September 6, 2019","The trio, Thanda Mtegha, Brenald Dzodzi and Sam Masikini went to represent the Polytechnic at the Indaba and showcase some of their projects they have been working on.According to one of the participants, Sam Masikini, the Faculty of Applied Sciences Deputy Dean, Dr Amelia Taylor who happened to be one of the organisers of the local IndabaX that took place in Malawi, is the one who arranged for their participation.Masikini showcased his project of counterfeit banknote detection, which he has been working on, and scaling it up.“The entire event was well organised and coordinated, no randomness and improvisations as far as I saw it, organisers were ready for almost anything. I personally enjoyed the practical sessions on optimisation for deep learning, reinforcement learning and sessions on Generative models and recurrent neural networks,” Masikini said.Masikini further explained that apart from learning and showcasing various projects, they were able to socialize with other students from other cultures, universities and all corners of the world.“Machine learning brought us together and we shared what we have been studying, the limitations we are facing due to political and cultural background and the future of machine learning in Africa,” he added.While Brenald Dzondzi learned that Africa needs to build their own artificial intelligence solutions because some of the western technologies are not compatible to the environment and set up hence problems and challenges.“The conference is geared at engaging the African content to start thinking about intelligence solutions to our own problems. For example Google maps navigator doesn't work properly in Nairobi because of its traffic and other roads that feed into the main roads,” Dzondzi addedThe students thank all the sponsors, organisers and everyone that took part in making the Indaba 2019 an unforgettable memory. They are looking forward to attending the next Indaba.",http://www.mubas.ac.mw/news/poly-students-shine-at-indaba-06-09-2019
UMSSA reaches out,Hazviperi Mbizi,"September 5, 2019","Speaking during the donation, the UMSSA Public Relations Officer Martin Matululu explained that they decided to donate various items as a way of social responsibility to the community.“UMMSA comprises of different members from different Universities in Malawi who from time to time meet and play different games. This weekend we are playing at Chancellor College that is why we thought it wise to come and give a little something from what the members have contributed,” he said.Matululu further explained that they brought items like soap, juice, sugar and many more which are essential for the health and welfare of pregnant and nursing mothers in the maternity ward.The group was received by the Deputy nurse ward in charge, Montfort Mumbulu, who thanked the group for the donation.""This donation has come at the right time since we have patients who are coming from far away places. We also urge other organizations to follow suit since we have less privileged patients who lack such support from the public,” Mumbulu said.One of the ladies who received the donation, Mary Flakson, thanked the group for their generosity which she said the items will assist them in their day to day lives at the hospital.",http://www.mubas.ac.mw/news/umssa-reaches-out-05-09-2019
Poly shines at UMSSA,Hazviperi Mbizi,"September 2, 2019","The dances were part of the function, which was declaring the opening of various sporting activities that took place on the 31st August, at the CHANCO Sports Complex.The PSSA President, Prisca Mkandawire explained that the performance was colourful due to the coordination and dedication of the staff members in preparation for the event.On the other hand, it is the Polytechnic Darts team only that came out with a gold medal while the football team was disqualified in the semifinal due to misunderstandings with the College of Medicine (CoM) team.In Athletics, Murray Mwachumu, Tamara Singini, Lonjezo Chikosa and Chipiliro Kimau won Gold medals each in different running and walking competitions while Prisca Mkandawire, Dora Banda, Violet Katondo, Gabriel Kalaya and Alex Makwinja came out with silver medals each.The games were played in readiness of the Southern Africa University Sports Association (SAUSSA) Intervarsity games to be played at Chinoi in Zimbabwe, in December 2019.The teams that participated were, Lilongwe University of Agriculture and Natural Resources (LUANAR) Polytechnic, CoM, Domasi College, Zomba Police School, Old Mutual, Malawi University of Science and Technology (MUST) and hosts CHANCO.In football, CHANCO were the winners, in Netball CoM were victors, Chess was won by Chimwemwe Manjankhosi from Domasi, Volleyball was won by Old Mutual, Pool was won by Zomba Police while MUST won the Bawo competition.",http://www.mubas.ac.mw/news/poly-shines-at-umssa-02-09-2019
Management empowers PSU,Hazviperi Mbizi,"August 30, 2019","According to the Dean, this workshop is conducted annually to the new members in order to equip them with leadership skills.The Dean highlighted that the workshop involves a number of people from various departments who come to present and inform the students on how they can handle different situations in different scenarios.“The Principal is invited to give information on the University structure, the Registrar informs them about the reporting lines and the rules of how they should handle issues,” he added.One of the presentations from the Estate Development Officer centered on infrastructures and furniture and also on how they can report any problems related to this area.“They have also been trained on issues to do with security, finance, conflict management, how to use the media as a tool of transforming the students’ image and how they can plan their work so that it should not jeopardize their studies.The PSU Vice President Victor Nkhambule explained that the workshop has been an eye opener to them as a group and also to him personally.“I very much appreciate on what I have learned in as far as reporting lineage is concerned. There have been issues like a student getting sick in the middle of the night, yet I did not know what I needed to do,” Nkhambule said.Nkhambule added that after the workshop, the team met to come up with events and activities, which could help the needy students and help portray the affirmative side of Polytechnic students.",http://www.mubas.ac.mw/news/management-empowers-psu-30-08-2019
Let’s preserve trees,Hazviperi Mbizi,"August 30, 2019","A laboratory assistant, Kingsley Kabango explained that a briquette is a compressed block of combustible biomass material like sawdust, rice husks, groundnut shells, waster papers, cow dung, wood chips and banana peels, used for fuel and kindling to start a fire.A project, which is also being done by some organisation in the country, the department, thought it wise to be part of those trying to protect trees which are being cut carelessly.“Briquettes are economical in such a way that they use locally found materials to be produced. If the society or industries could help us expand this project, there could be a solution to climate change and deforestation,” Kabango said.He further outlined that the adoption of briquettes as a locally found fuel, would also help in job creation for people in industries.Speaking after using the briquettes as an experiment, Jane Saguga, a lady from Ndirande explained that these are even way better than charcoal because they last longer and they do not produce smoke.The department intends to expand this project so that it should be producing them in bulk to be sold at an affordable price so the community should benefit.According to National Charcoal Strategy (NSC) report, 97 % of households in Malawi rely on charcoal and firewood as their primary cooking fuel and Malawi’s demand for these fuels is increasing faster than the adoption of alternative energy sources.In this regard, trees are being cut carelessly which leaves the land bare and prone to floods. ",http://www.mubas.ac.mw/news/lets-preserve-trees-30-08-2019
NB awards excellent performers,Hazviperi Mbizi,"August 28, 2019","The students who in total were 16, five of them are from the Polytechnic whose names are, Wisdom Kapinga, Hope Langwani, Christopher Chapola, Shadreck Milward and Roosevelt Chingwalu.Speaking during the presentation of the cheque equivalent to K7million to be used to cover for their tuition for the next academic year, the bank’s Chief Executive Officer Mcfussy Kawawa explained that, this annual event has been trendy for over 40 years.“I would like to congratulate the awardees for performing very outstandingly in their studies. As National Bank we introduced this initiative in order to create a sense of competition and hard work among students,” he said.Kawawa further added that as a business, National Bank is aware that if the country has an educated populace then it has a good foundation of people who have the skills and knowledge to drive different activities to improve the economy.In his remarks, the Principal of the Polytechnic Professor Grant Kululanga, explained that the UNIMA is implementing one of the National educational sector’s objectives which states that there is need for the production of high quality education.“What companies and organizations in the industry want are graduates that are well educated and informed. National Bank comes every year to sponsor outstanding students because they understand the importance of sponsoring higher education,” he said.The Principal thanked National Bank Chief Executive Officer and his team for the unrelenting support it has been rendering to UNIMA for over forty years. He further requested other stake holders to follow suit in order to improve education in the country.One of the awardees, Christopher Chapola from the Faculty of Commerce expressed his gratitude to the National Bank and the whole Faculty for supporting him both financially and academically which he says has motivated him to perform even better.During the same function, National Bank presented a donation of K3million kwacha to the launch of the Centre of Excellence in Ethics and Governance.",http://www.mubas.ac.mw/news/nb-awards-excellent-performers-28-08-2019
Launch of CEEG,Hazviperi Mbizi,"August 22, 2019","The overall theme of the launch of the CEEG is ‘Ethics and Governance as Moral Capital Investments for Malawi’s Rapid and Sustainable Development within a Competitive Globalized World.’The Honorable Minister of Justice and Constitutional Affairs Mr. Bright Msaka, SC and Member of Parliament for Machinga Likwenu, will grace the official inaugural ceremony.Speaking during a Press Briefing which took place on Wednesday, 21st August, at the University Office in Zomba, the Acting Director of CEEG Professor Joseph Mfutso-Bengo explained that the aim of the centre is to eradicate malpractices that rampant corruption, abuse of public resources, in order for countries to invest in moral capital, good governance, professionalism and in disciplined professional ethical human capital.“Ethics, governance and leadership work together in order to provide change to the system. We have found out that there are four pillars which are; leadership, governance, ethics and system,” he said.Professor Mfutso-Bengo emphasized that people need to start trusting the system to work on its own without being coerced by corruption in all areas of the government.“When one applies for a German Visa they just wait for the system to operate on its own without them leaving their work place to query.” he added.The Pro Vice Chancellor of UNIMA, Professor Al Mtenje also highlighted that as a training centre, the aim is to try and change the mindsets of the people so that they should start believing in the system.“People will be coached to change their mindsets, attitude and be encouraged to follow ethical practices. Even those on the wrong side of ethics will realize that ethics are imperative and change their mindsets too,” he said.Professor Mtenje added that not every academic program in the UNIMA had an element of ethics. In this regard, all programs will have an element of ethics in them.In addition, the University Registrar Dr. Benedicto Wokomaatani Malunga explained that, democracy is a complicated system that requires learned people that understand where they put a stop to where somebody else’s freedom begins.",http://www.mubas.ac.mw/news/launch-of-ceeg-22-08-2019
"CHANCO, here we come!",Hazviperi Mbizi,"August 20, 2019","Teams taking part are, Lilongwe University of Agriculture and Natural Resources (LUANAR) Malawi University of Science and Technology (MUST), Polytechnic, Kamuzu College of Nursing (KCN) Zomba Police College, College of Medicine (CoM), Domasi College of Education and the hosts, CHANCO.Football, Netball, Volleyball, Darts, Pool, Athletics, Bawo and Chess are the games, which are going to be played.According to the Polytechnic Netball Captain Alice Matewere, the team is training hard so that this time around they should come home with a medal.“We are training intensively, even the coach is making us work extra hard so that we should be fit for the tournament,” she said.The Poly Volleyball Captain Noel Chavula expressed his disappointment over the turn out of players for training while the Poly Football team Captain, Nsimenye Mwafongo,is calling for players to register on time.The Poly Darts team won a gold medal while the pool team won Silver during the last tournament, which took place at the Malawi Armed Forces College (MAFCO) in Salima earlier this year.These games are in readiness for the Southern Africa University Staff Sports Association Inter Varsity games to take place in December in Zimbabwe.The event will start with an opening ceremony to be held on the 30th August, at the CHANCO Great Hall, which includes traditional dances.Medals will be given to the winning team on the evening of 31st August at the same venue.",http://www.mubas.ac.mw/news/chanco-here-we-come-20-08-2019
First SMS Promotion winners identified,Hazviperi Mbizi,"August 19, 2019","Those who won the first prizes of K50, 000 each were unidentified individual who did not pick up his call, cellphone number 0996139030 and Nelson Chikafa a Polytechnic student studying Bachelor of arts in Education and Business Studies, second year.Speaking during the prize giving ceremony, Chikafa expressed his excitement for being one of the lucky winners of the promotion, which aims at helping the needy students as well.“Me being one of the less privileged students, this money will help me to sustain myself. This also shows that the public have participated but would like to encourage those who haven’t subscribed yet to do so,” Chikafa said.One of the organizers Japhet Nthala explained that they have evidence that people from all sectors are participating but the numbers are not impressive.“We wish to urge the public to take part in this competition so that it should achieve its intended purpose,” Nthala added.Gift Tautsi and Clara Manda from Manase and Chirimba in Blantyre won the second prize of K25, 000 each while Gasper Chidziko from Lilongwe and Gabriel Kunika from Chitipa won the last prize of K10,000 each.Draws will be conducted fortnightly. To subscribe, one has to send ‘Yamba or Start’ to 2025 in both networks.",http://www.mubas.ac.mw/news/first-sms-promotion-winners-identified-19-08-2019
Poly at Trade Fair,Hazviperi Mbizi,"August 13, 2019","According to one of the lecturers present, Victor Chikoti, the aim of participating annually is to disseminate information to the public on the degree, diploma, professional programs and short courses, which are offered at the University.“We are here to display application forms and brochures for various programs offered at the main Polytechnic, Continuing Education Centre (CEC) and the Management Development Centre (MDC),” Chikoti said.In addition, Chikoti explained that this is also a platform where the public are informed about other services like consultancies, printing of brochures, business cards by the printing department, and other services being offered apart from programs.“Here, we also showcase new technologies and innovations being developed at the Polytechnic,” he explained.Speaking of new technologies, a Laboratory Assistant in the Physics and Biochemical Science Kingsley Kabango is showcasing a carbonizing Kiln, which is used to reduce volatile matter on briquettes.“Briquettes are local materials formed from wastes like rice husks, waste papers, groundnut shells and many more which can be used as fuel to replace charcoal. These if implemented will reduce deforestation which is caused by charcoal burning,” Kabango explained.However, a journalism lecturer Peter Mitunda, expressed his disappointment over the organization of this year’s Trade Fair citing that the dates of the event works to the disadvantage of the Polytechnic stand.“Our main targets are the students whom we teach and inform them about the program and courses. In this case students are on holiday which makes it difficult for us meet the prospective students,” Mitunda said.The Polytechnic stand has representatives from all facilities, the Polytechnic library, CEC and MDC.It runs from 5th to 15th August 2019.",http://www.mubas.ac.mw/news/poly-at-trade-fair-13-08-2019
Back from America,Hazviperi Mbizi,"August 12, 2019","These are Moses Phika from the Department of Electrical and Electronics, while Clement Misomali, Alexander DC Mtambo and Wilson Kalambo were studying Electronics and Computer Engineering.Speaking soon after arrival, Moses Phika explained that the program has been an eye opener not only in Engineering but other areas as well. He added that in his group, they worked on an automated Bag Valve Mask for low resource settings.“It is a mechanical ventilation device which is usually used to help patients to breathe properly especially during emergencies. The ones available are operated manually by medical practitioners which makes it prone to errors.” he explained.Phika added that the other part of the project was to make the Bag Valve Mask operate for long hours so that it can be used in oxygen concentrators in low resource settings like Malawi.In addition, Clement Misomali explained that the program has been an upgrade to their skills set in areas like leadership, communication, project management and public speaking.“In our team which comprised of me, Wilson and other interns from other countries, we worked on a noise level alert system which is a device that warn users to put on hearing protection. This can be used in giving warnings in high noise places like factories, machine workshops and ideal for noise control in offices like call centres, hospitals and many more,” Misomali said.Alexander DC Mtambo explained that in his group they were working on a medical device, which is used to apply negative pressure to suck up fluids on wounds so that they should heal faster.“An infected wound has fluids around it which causes worsening and contamination. This device has been designed to be affordable as compared to the ones on the market, which are relatively expensive,” Mtambo added.The graduates share the same sentiments of working with other engineers in progressing their projects to the next level so that they should be beneficial to the medical sector in the country.",http://www.mubas.ac.mw/news/back-from-america-12-08-2019
